INFO 2024-11-20 00:40:17,015 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 00:40:23,556 basehttp "GET / HTTP/1.1" 200 5972
INFO 2024-11-20 00:40:23,615 basehttp "GET /static/css/style.css HTTP/1.1" 304 0
INFO 2024-11-20 00:40:23,625 basehttp "GET /static/js/details.js HTTP/1.1" 304 0
WARNING 2024-11-20 00:40:23,633 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:40:23,743 basehttp "GET /static/chart/grouped_bar_chart.png HTTP/1.1" 200 29837
INFO 2024-11-20 00:40:23,743 basehttp "GET /static/chart/pie_chart.png HTTP/1.1" 200 26763
WARNING 2024-11-20 00:40:23,862 log Not Found: /favicon.ico
WARNING 2024-11-20 00:40:23,862 basehttp "GET /favicon.ico HTTP/1.1" 404 6537
INFO 2024-11-20 00:41:43,837 autoreload D:\newP\mail\mail_archive\documents\views.py changed, reloading.
INFO 2024-11-20 00:41:44,588 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 00:41:54,904 basehttp "GET / HTTP/1.1" 200 5972
WARNING 2024-11-20 00:41:54,963 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:41:55,051 basehttp "GET /static/chart/grouped_bar_chart.png HTTP/1.1" 200 26598
INFO 2024-11-20 00:41:55,057 basehttp "GET /static/chart/pie_chart.png HTTP/1.1" 200 25984
INFO 2024-11-20 00:42:45,540 autoreload D:\newP\mail\mail_archive\documents\views.py changed, reloading.
INFO 2024-11-20 00:42:46,371 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 00:42:49,299 basehttp "GET / HTTP/1.1" 200 5972
WARNING 2024-11-20 00:42:49,352 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:42:49,434 basehttp "GET /static/chart/pie_chart.png HTTP/1.1" 200 19975
INFO 2024-11-20 00:42:49,434 basehttp "GET /static/chart/grouped_bar_chart.png HTTP/1.1" 200 23555
INFO 2024-11-20 00:43:27,970 basehttp "GET /outgoing_mail/ HTTP/1.1" 200 7744
WARNING 2024-11-20 00:43:28,043 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:43:28,950 basehttp "GET /incoming_mail/ HTTP/1.1" 200 5339
WARNING 2024-11-20 00:43:29,019 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:43:33,264 basehttp "GET /outgoing_mail/ HTTP/1.1" 200 7744
WARNING 2024-11-20 00:43:33,317 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:43:35,825 basehttp "GET / HTTP/1.1" 200 5972
WARNING 2024-11-20 00:43:35,896 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:43:35,897 basehttp "GET /static/chart/pie_chart.png HTTP/1.1" 200 19975
INFO 2024-11-20 00:43:35,897 basehttp "GET /static/chart/grouped_bar_chart.png HTTP/1.1" 200 23555
INFO 2024-11-20 00:45:09,261 basehttp "GET /outgoing_mail/ HTTP/1.1" 200 7744
WARNING 2024-11-20 00:45:09,342 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:45:55,931 basehttp "GET /outgoing_mail/ HTTP/1.1" 200 7764
INFO 2024-11-20 00:45:55,974 basehttp "GET /static/css/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2024-11-20 00:45:55,991 basehttp "GET /static/css/style.css HTTP/1.1" 200 13951
INFO 2024-11-20 00:45:55,992 basehttp "GET /static/img/incoming-mail.png HTTP/1.1" 200 27510
INFO 2024-11-20 00:45:55,992 basehttp "GET /static/img/outgoing-mail.png HTTP/1.1" 200 27599
INFO 2024-11-20 00:45:55,993 basehttp "GET /static/img/decrees.png HTTP/1.1" 200 15258
INFO 2024-11-20 00:45:55,994 basehttp "GET /static/img/internal-mail.png HTTP/1.1" 200 12268
INFO 2024-11-20 00:45:56,009 basehttp "GET /static/js/details.js HTTP/1.1" 200 4345
WARNING 2024-11-20 00:45:56,011 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:45:56,012 basehttp "GET /static/img/view.png HTTP/1.1" 200 20714
INFO 2024-11-20 00:45:56,012 basehttp "GET /static/img/settings.png HTTP/1.1" 200 21053
INFO 2024-11-20 00:45:56,014 basehttp "GET /static/img/pdf.png HTTP/1.1" 200 16774
INFO 2024-11-20 00:45:56,019 basehttp "GET /static/js/bootstrap.bundle.js HTTP/1.1" 200 207819
INFO 2024-11-20 00:45:56,019 basehttp "GET /static/img/delete.png HTTP/1.1" 200 24871
INFO 2024-11-20 00:45:56,020 basehttp "GET /static/img/edit.png HTTP/1.1" 200 15244
INFO 2024-11-20 00:45:56,021 basehttp "GET /static/pdfjs/build/pdf.mjs HTTP/1.1" 200 628531
INFO 2024-11-20 00:45:56,058 basehttp "GET /static/fonts/Shabwa.ttf HTTP/1.1" 200 51148
INFO 2024-11-20 00:45:56,058 basehttp "GET /static/fonts/Shabwa-Bold.ttf HTTP/1.1" 200 49452
INFO 2024-11-20 00:45:56,059 basehttp "GET /static/fonts/Shabwa-Medium.ttf HTTP/1.1" 200 51776
WARNING 2024-11-20 00:45:56,114 log Not Found: /favicon.ico
WARNING 2024-11-20 00:45:56,115 basehttp "GET /favicon.ico HTTP/1.1" 404 6537
INFO 2024-11-20 00:46:28,651 basehttp "GET /outgoing_mail/ HTTP/1.1" 200 7768
INFO 2024-11-20 00:46:28,701 basehttp "GET /static/css/style.css HTTP/1.1" 200 13951
INFO 2024-11-20 00:46:28,708 basehttp "GET /static/img/internal-mail.png HTTP/1.1" 200 12268
INFO 2024-11-20 00:46:28,708 basehttp "GET /static/img/outgoing-mail.png HTTP/1.1" 200 27599
INFO 2024-11-20 00:46:28,709 basehttp "GET /static/img/incoming-mail.png HTTP/1.1" 200 27510
INFO 2024-11-20 00:46:28,710 basehttp "GET /static/img/decrees.png HTTP/1.1" 200 15258
INFO 2024-11-20 00:46:28,712 basehttp "GET /static/css/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2024-11-20 00:46:28,717 basehttp "GET /static/js/details.js HTTP/1.1" 200 4345
INFO 2024-11-20 00:46:28,718 basehttp "GET /static/img/settings.png HTTP/1.1" 200 21053
WARNING 2024-11-20 00:46:28,728 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:46:28,731 basehttp "GET /static/img/view.png HTTP/1.1" 200 20714
INFO 2024-11-20 00:46:28,732 basehttp "GET /static/img/pdf.png HTTP/1.1" 200 16774
INFO 2024-11-20 00:46:28,733 basehttp "GET /static/img/edit.png HTTP/1.1" 200 15244
INFO 2024-11-20 00:46:28,736 basehttp "GET /static/js/bootstrap.bundle.js HTTP/1.1" 200 207819
INFO 2024-11-20 00:46:28,737 basehttp "GET /static/img/delete.png HTTP/1.1" 200 24871
INFO 2024-11-20 00:46:28,738 basehttp "GET /static/pdfjs/build/pdf.mjs HTTP/1.1" 200 628531
INFO 2024-11-20 00:46:28,807 basehttp "GET /static/fonts/Shabwa-Bold.ttf HTTP/1.1" 200 49452
INFO 2024-11-20 00:46:28,807 basehttp "GET /static/fonts/Shabwa.ttf HTTP/1.1" 200 51148
INFO 2024-11-20 00:46:28,808 basehttp "GET /static/fonts/Shabwa-Medium.ttf HTTP/1.1" 200 51776
WARNING 2024-11-20 00:46:28,867 log Not Found: /favicon.ico
WARNING 2024-11-20 00:46:28,868 basehttp "GET /favicon.ico HTTP/1.1" 404 6537
INFO 2024-11-20 00:46:45,719 basehttp "GET /add/outgoing/ HTTP/1.1" 200 7080
INFO 2024-11-20 00:46:45,768 basehttp "GET /static/css/flatpickr.css HTTP/1.1" 304 0
INFO 2024-11-20 00:46:45,769 basehttp "GET /static/js/flatpickr.js HTTP/1.1" 304 0
WARNING 2024-11-20 00:46:45,776 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:46:52,614 basehttp "GET /outgoing_mail/ HTTP/1.1" 200 7768
WARNING 2024-11-20 00:46:52,675 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:46:58,244 basehttp "GET /add/outgoing/ HTTP/1.1" 200 7080
WARNING 2024-11-20 00:46:58,301 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:47:14,424 basehttp "GET /outgoing_mail/ HTTP/1.1" 200 7768
WARNING 2024-11-20 00:47:14,484 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:48:30,758 basehttp "GET /incoming_mail/ HTTP/1.1" 200 5339
WARNING 2024-11-20 00:48:30,834 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:48:31,846 basehttp "GET /add/incoming/ HTTP/1.1" 200 7247
WARNING 2024-11-20 00:48:31,911 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:51:18,918 autoreload D:\newP\mail\mail_archive\documents\forms.py changed, reloading.
INFO 2024-11-20 00:51:19,797 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 00:51:22,345 basehttp "GET /outgoing_mail/ HTTP/1.1" 200 7768
WARNING 2024-11-20 00:51:22,418 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:51:23,706 basehttp "GET /add/outgoing/ HTTP/1.1" 200 7121
WARNING 2024-11-20 00:51:23,771 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:51:36,698 basehttp "GET /outgoing_mail/ HTTP/1.1" 200 7768
WARNING 2024-11-20 00:51:36,755 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:51:38,874 basehttp "GET /edit/outgoing/3/ HTTP/1.1" 200 7473
WARNING 2024-11-20 00:51:38,923 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:51:48,311 basehttp "GET /outgoing_mail/ HTTP/1.1" 200 7768
WARNING 2024-11-20 00:51:48,354 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:53:29,370 autoreload D:\newP\mail\mail_archive\documents\forms.py changed, reloading.
INFO 2024-11-20 00:53:30,169 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 00:53:37,402 basehttp "GET /incoming_mail/ HTTP/1.1" 200 5339
WARNING 2024-11-20 00:53:37,466 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:53:38,624 basehttp "GET /add/incoming/ HTTP/1.1" 200 7584
WARNING 2024-11-20 00:53:38,680 basehttp "GET /static/js/pdf.js HTTP/1.1" 404 1841
INFO 2024-11-20 00:54:40,070 basehttp "GET /add/incoming/ HTTP/1.1" 200 7584
INFO 2024-11-20 00:54:40,332 basehttp "GET /static/img/incoming-mail.png HTTP/1.1" 200 27510
INFO 2024-11-20 00:54:40,343 basehttp "GET /add/incoming/ HTTP/1.1" 200 7584
INFO 2024-11-20 00:54:40,343 basehttp "GET /static/img/outgoing-mail.png HTTP/1.1" 200 27599
INFO 2024-11-20 00:54:40,348 basehttp "GET /static/img/internal-mail.png HTTP/1.1" 200 12268
INFO 2024-11-20 00:54:40,349 basehttp "GET /static/css/style.css HTTP/1.1" 200 13951
INFO 2024-11-20 00:54:40,349 basehttp "GET /static/img/decrees.png HTTP/1.1" 200 15258
INFO 2024-11-20 00:54:40,352 basehttp "GET /static/css/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2024-11-20 00:54:40,368 basehttp "GET /static/img/settings.png HTTP/1.1" 200 21053
INFO 2024-11-20 00:54:40,370 basehttp "GET /static/css/flatpickr.css HTTP/1.1" 200 20981
INFO 2024-11-20 00:54:40,375 basehttp "GET /add/incoming/ HTTP/1.1" 200 7584
INFO 2024-11-20 00:54:40,382 basehttp "GET /static/js/details.js HTTP/1.1" 200 4345
INFO 2024-11-20 00:54:40,384 basehttp - Broken pipe from ('127.0.0.1', 64870)
INFO 2024-11-20 00:54:40,384 basehttp - Broken pipe from ('127.0.0.1', 64871)
INFO 2024-11-20 00:54:40,385 basehttp - Broken pipe from ('127.0.0.1', 64873)
INFO 2024-11-20 00:54:40,385 basehttp - Broken pipe from ('127.0.0.1', 64872)
